inventory_serial,slide_no,state,district,slide_name,location_description,latitude,longitude,material_involved,movement_type,history_raw,reported_history_date,source_pdf_path,source_pdf_page,source_table_label,source_row_text,spatial_linkage_status,matched_village_lgd_code,matched_village_name_en
27421,TN/NIL/58A12/2015-16/233,Tamil Nadu,Nilgiri,,Melkundah to Konnakorai,11.210556,76.644722,Earth,Slide,NA,,data/raw/events/landslide_report.pdf,693,LANDSLIDE INVENTORY (Field vaidated),27421 TN/NIL/58A12/2015-16/233 Tamil Nadu Nilgiri Melkundah to Konnakorai 11.210556 76.644722 Earth Slide NA,EXACT_POLYGON_MATCH,635121,Kinnakorai
27422,TN/NIL/58A12/2015-16/234,Tamil Nadu,Nilgiri,,Melkundah to Konnakorai,11.210556,76.645,Earth,Slide,NA,,data/raw/events/landslide_report.pdf,693,LANDSLIDE INVENTORY (Field vaidated),27422 TN/NIL/58A12/2015-16/234 Tamil Nadu Nilgiri Melkundah to Konnakorai 11.210556 76.645 Earth Slide NA,EXACT_POLYGON_MATCH,635121,Kinnakorai
27424,TN/NIL/58A12/2015-16/231,Tamil Nadu,Nilgiri,,Melkundah to Konnakorai,11.211111,76.629167,Debris,Slide,NA,,data/raw/events/landslide_report.pdf,693,LANDSLIDE INVENTORY (Field vaidated),27424 TN/NIL/58A12/2015-16/231 Tamil Nadu Nilgiri Melkundah to Konnakorai 11.211111 76.629167 Debris Slide NA,EXACT_POLYGON_MATCH,635120,Mel-Kundah
27425,TN/NIL/58A12/2015-16/232,Tamil Nadu,Nilgiri,,Melkundah to Konnakorai,11.211389,76.643889,Debris,Slide,NA,,data/raw/events/landslide_report.pdf,693,LANDSLIDE INVENTORY (Field vaidated),27425 TN/NIL/58A12/2015-16/232 Tamil Nadu Nilgiri Melkundah to Konnakorai 11.211389 76.643889 Debris Slide NA,EXACT_POLYGON_MATCH,635121,Kinnakorai
27426,TN/NIL/58A12/2015-16/230,Tamil Nadu,Nilgiri,,Melkundah to Konnakorai,11.213333,76.626111,Debris,Slide,NA,,data/raw/events/landslide_report.pdf,693,LANDSLIDE INVENTORY (Field vaidated),27426 TN/NIL/58A12/2015-16/230 Tamil Nadu Nilgiri Melkundah to Konnakorai 11.213333 76.626111 Debris Slide NA,EXACT_POLYGON_MATCH,635120,Mel-Kundah
27427,TN/NIL/58A12/2015-16/227,Tamil Nadu,Nilgiri,,Thiashola Tea Estate,11.215833,76.606111,Debris,Slide,NA,,data/raw/events/landslide_report.pdf,693,LANDSLIDE INVENTORY (Field vaidated),27427 TN/NIL/58A12/2015-16/227 Tamil Nadu Nilgiri Thiashola Tea Estate 11.215833 76.606111 Debris Slide NA,EXACT_POLYGON_MATCH,635120,Mel-Kundah
27428,TN/NIL/58A12/2015-16/226,Tamil Nadu,Nilgiri,,Thiashola Tea Estate,11.216111,76.606667,Debris,Slide,NA,,data/raw/events/landslide_report.pdf,693,LANDSLIDE INVENTORY (Field vaidated),27428 TN/NIL/58A12/2015-16/226 Tamil Nadu Nilgiri Thiashola Tea Estate 11.216111 76.606667 Debris Slide NA,EXACT_POLYGON_MATCH,635120,Mel-Kundah
27429,TN/NIL/58A12/2015-16/225,Tamil Nadu,Nilgiri,,Thiashola Tea Estate,11.217222,76.608889,Debris,Subsidence,NA,,data/raw/events/landslide_report.pdf,694,LANDSLIDE INVENTORY (Field vaidated),27429 TN/NIL/58A12/2015-16/225 Tamil Nadu Nilgiri Thiashola Tea Estate 11.217222 76.608889 Debris Subsidence NA,EXACT_POLYGON_MATCH,635120,Mel-Kundah
27430,TN/NIL/58A12/2015-16/224,Tamil Nadu,Nilgiri,,Thiashola Tea Estate,11.218889,76.610278,Earth,Slide,NA,,data/raw/events/landslide_report.pdf,694,LANDSLIDE INVENTORY (Field vaidated),27430 TN/NIL/58A12/2015-16/224 Tamil Nadu Nilgiri Thiashola Tea Estate 11.218889 76.610278 Earth Slide NA,EXACT_POLYGON_MATCH,635120,Mel-Kundah
27431,TN/NIL/58A12/2015-16/228,Tamil Nadu,Nilgiri,,"Todukkodal Malai, Korakundah",11.219444,76.596667,Debris,Slide,NA,,data/raw/events/landslide_report.pdf,694,LANDSLIDE INVENTORY (Field vaidated),"27431 TN/NIL/58A12/2015-16/228 Tamil Nadu Nilgiri Todukkodal Malai, Korakundah 11.219444 76.596667 Debris Slide NA",EXACT_POLYGON_MATCH,635120,Mel-Kundah
