village_lgd_code,district_lgd_code,taluk_lgd_code,village_name_en,elevation_mean_m,elevation_min_m,elevation_max_m,slope_mean_deg,slope_max_deg,rainfall_7d_p95_mm,rainfall_3d_p95_mm,rainfall_1d_max_mm,rainfall_annual_mean_mm,elevation_range_m,conditional_strict_linked_event_count,experimental_hazard_index_0_100,taluk_name_en,label_s,pu_status,terrain_feature_source,rainfall_feature_source,event_evidence_source,boundary_source
635080,587,5754,Erumad 1,877.0114432508174,817.0,959.0,9.360799427978488,29.677366049639964,266.98159325122833,115.07342529296876,233.34532165527344,2831.1814022921026,142.0,0,49.43840243416487,Pandalur,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635081,587,5754,Moonnad 1,918.82086055098,859.0,1005.0,10.995077646297071,35.58599692808123,266.98159325122833,115.07342529296876,233.34532165527344,2831.1814022921026,146.0,0,50.901117521510606,Pandalur,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635082,587,5754,Nelliyalam 1,1006.583104870166,887.0,1518.0,13.027235590646864,57.744095755403066,116.15345704555511,58.03638969361782,155.74169921875,1734.4247455224395,631.0,9,32.87153469953522,Pandalur,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635083,587,5754,Cherangode1,875.976949873059,282.0,1184.0,13.726031268889123,61.46913145795974,266.98159325122833,115.07342529296876,233.34532165527344,2831.1814022921026,902.0,11,68.84415139925359,Pandalur,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635084,587,5755,Nellakotta,967.7674836569036,878.0,1143.0,10.363532108403792,37.48939746230644,116.15345704555511,58.03638969361782,155.74169921875,1734.4247455224395,265.0,0,15.447495659050608,Gudalur,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635085,587,5755,Mudumalai,970.4264698807932,644.0,1188.0,7.193822563595803,64.17885153884704,116.15345704555511,58.03638969361782,155.74169921875,1734.4247455224395,544.0,0,13.366921958835398,Gudalur,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635086,587,5755,Sreemadurai,948.8644919512818,899.0,1016.0,9.25829846864063,29.929002988695306,116.15345704555511,58.03638969361782,155.74169921875,1734.4247455224395,117.0,0,14.54293097818072,Gudalur,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635087,587,5756,Masinagudi,958.3762080316924,465.0,1836.0,10.3087112835496,68.0435153444781,116.15345704555511,58.03638969361782,155.74169921875,1734.4247455224395,1371.0,0,15.326278260606744,Udhagai,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635088,587,5756,Kadanad 1,1008.208968757728,391.0,2250.0,12.43981989945518,75.04206426634038,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,1859.0,0,18.39207123605045,Udhagai,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635089,587,5756,Ebbanad 1,1168.0683621033727,410.0,2171.0,15.582018509464726,72.87174777561279,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,1761.0,2,29.224448847201543,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635090,587,5756,Kookal,1352.4056024269134,428.0,2175.0,19.11431824399961,66.36775222344295,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,1747.0,0,25.9323706617682,Udhagai,0,UNLABELED,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635091,587,5756,Kagguchi 1,1956.3675547624907,1554.0,2489.0,15.570589929682535,56.45316156183734,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,935.0,10,44.97254257950991,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635092,587,5756,Thuneri,1956.8888199400144,1704.0,2384.0,16.38849918184268,50.24973638900375,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,680.0,4,40.27958680586523,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635093,587,5756,Hullathy,1887.551768627029,935.0,2323.0,16.26241332396422,59.77550384446742,121.25839281082153,61.9717201590538,131.3484344482422,1691.8154097765685,1388.0,4,39.56964645393898,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
635094,587,5756,Nanjand1,2206.6053549089133,1694.0,2574.0,13.820478283019677,75.01516421595615,116.15345704555511,58.03638969361782,155.74169921875,1734.4247455224395,880.0,35,52.75045235561984,Udhagai,1,POSITIVE,data/processed/terrain_features_villages.csv (SRTM 30m DEM),"data/processed/village_time_features.csv (IMD 0.25deg gridded 2017,2019,2022-2024)",data/processed/event_village_linkage.csv (GSI/NLFC National Inventory),data/raw/admin/vb_soi_tn.kmz (40 exact LGD polygon matches)
