village_lgd_code,taluk_name_en,village_name_en,pu_status,conditional_strict_linked_event_count,ml_loto_oof_score_0_100,ml_susceptibility_0_100,experimental_hazard_index_0_100
635080,Pandalur,Erumad 1,UNLABELED,0,7.83,18.32,49.43840243416487
635081,Pandalur,Moonnad 1,UNLABELED,0,7.83,18.32,50.901117521510606
635082,Pandalur,Nelliyalam 1,POSITIVE,9,6.8,46.7,32.87153469953522
635083,Pandalur,Cherangode1,POSITIVE,11,7.83,64.17,68.84415139925359
635084,Gudalur,Nellakotta,UNLABELED,0,18.29,9.88,15.447495659050608
635085,Gudalur,Mudumalai,UNLABELED,0,18.29,9.88,13.366921958835398
635086,Gudalur,Sreemadurai,UNLABELED,0,18.29,9.88,14.54293097818072
635087,Udhagai,Masinagudi,UNLABELED,0,31.81,9.88,15.326278260606744
635088,Udhagai,Kadanad 1,UNLABELED,0,35.03,10.1,18.39207123605045
635089,Udhagai,Ebbanad 1,POSITIVE,2,54.72,47.29,29.224448847201543
635090,Udhagai,Kookal,UNLABELED,0,54.72,38.95,25.9323706617682
635091,Udhagai,Kagguchi 1,POSITIVE,10,94.22,94.58,44.97254257950991
635092,Udhagai,Thuneri,POSITIVE,4,94.22,94.58,40.27958680586523
635093,Udhagai,Hullathy,POSITIVE,4,94.22,94.58,39.56964645393898
635094,Udhagai,Nanjand1,POSITIVE,35,94.22,94.58,52.75045235561984
635095,Udhagai,Udhagai - Rural,POSITIVE,2,94.22,94.58,38.24144123601565
635096,Udhagai,Thummanatty 1,POSITIVE,10,89.3,94.58,47.68708286702416
635097,Kotagiri,Hallimoyar,UNLABELED,0,61.37,16.43,14.103409668676406
635098,Kotagiri,Kallampalayam,UNLABELED,0,7.54,6.84,0.0
635099,Kotagiri,Kodanad,POSITIVE,2,92.41,83.51,31.45073678413644
635100,Kotagiri,Nedugula-I,POSITIVE,3,89.91,94.58,38.11259755042594
635101,Kotagiri,Denad-I,POSITIVE,2,89.51,86.04,29.424565145526177
635102,Kotagiri,Nandhipuram,UNLABELED,0,86.65,14.55,23.62215446294121
635103,Kotagiri,Aracode,UNLABELED,0,86.65,14.55,21.682934113065212
635104,Kotagiri,Kokodu,UNLABELED,0,88.51,14.55,16.327933556008222
635105,Kotagiri,Kadinamala,UNLABELED,0,86.65,14.55,20.974950282786725
635106,Kotagiri,Kengarai 1,UNLABELED,0,58.32,16.43,21.119705166960763
635107,Kotagiri,Konavakorai-I,POSITIVE,15,61.37,86.04,38.87866211924904
635108,Kotagiri,Naduhatty-1,POSITIVE,15,89.91,94.58,48.25131449518166
635109,Kotagiri,Kotagiri -1,POSITIVE,2,89.91,94.58,33.59951825425937
635110,Kotagiri,Jackanarai,POSITIVE,22,91.31,62.96,66.20527345280583
635111,Coonoor,Yedapally,POSITIVE,5,89.8,93.48,39.62504179629584
635112,Coonoor,Burliar,POSITIVE,41,32.81,62.96,51.65830778903372
635113,Coonoor,Coonoor Rural,POSITIVE,36,89.8,93.48,54.77953136402519
635114,Coonoor,Melur 1,POSITIVE,1,89.8,93.48,29.06075605500657
635117,Kundah,Ithalar 1,POSITIVE,42,94.12,94.58,51.1966417215826
635118,Kundah,Mulligoor,POSITIVE,31,94.12,94.58,52.84459419181584
635119,Kundah,Balacola-1,POSITIVE,27,90.89,93.48,48.84881651142474
635120,Kundah,Mel-Kundah,POSITIVE,15,90.89,93.48,50.15823859963989
635121,Kundah,Kinnakorai,POSITIVE,3,90.89,93.48,38.95963076400986
