scenario_key,scenario_name,rainfall_factor,village_lgd_code,taluk_name_en,village_name_en,pu_status,elevation_mean_m,slope_mean_deg,baseline_rainfall_7d_p95_mm,scenario_rainfall_7d_p95_mm,baseline_susceptibility_0_100,scenario_susceptibility_0_100,susceptibility_delta,scenario_tier,governance_classification
moderate,Moderate / Normal Monsoon,0.7,635080,Pandalur,Erumad 1,UNLABELED,877.0,9.4,267.0,186.9,18.32,9.88,-8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635081,Pandalur,Moonnad 1,UNLABELED,918.8,11.0,267.0,186.9,18.32,9.88,-8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635082,Pandalur,Nelliyalam 1,POSITIVE,1006.6,13.0,116.2,81.3,46.7,17.17,-29.53,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635083,Pandalur,Cherangode1,POSITIVE,876.0,13.7,267.0,186.9,64.17,46.7,-17.47,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635084,Gudalur,Nellakotta,UNLABELED,967.8,10.4,116.2,81.3,9.88,6.84,-3.04,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635085,Gudalur,Mudumalai,UNLABELED,970.4,7.2,116.2,81.3,9.88,6.84,-3.04,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635086,Gudalur,Sreemadurai,UNLABELED,948.9,9.3,116.2,81.3,9.88,6.84,-3.04,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635087,Udhagai,Masinagudi,UNLABELED,958.4,10.3,116.2,81.3,9.88,6.84,-3.04,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635088,Udhagai,Kadanad 1,UNLABELED,1008.2,12.4,121.3,84.9,10.1,7.82,-2.28,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635089,Udhagai,Ebbanad 1,POSITIVE,1168.1,15.6,121.3,84.9,47.29,19.32,-27.97,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635090,Udhagai,Kookal,UNLABELED,1352.4,19.1,121.3,84.9,38.95,14.55,-24.4,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635091,Udhagai,Kagguchi 1,POSITIVE,1956.4,15.6,121.3,84.9,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635092,Udhagai,Thuneri,POSITIVE,1956.9,16.4,121.3,84.9,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635093,Udhagai,Hullathy,POSITIVE,1887.6,16.3,121.3,84.9,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
moderate,Moderate / Normal Monsoon,0.7,635094,Udhagai,Nanjand1,POSITIVE,2206.6,13.8,116.2,81.3,94.58,86.04,-8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
