village_lgd_code,district_lgd_code,taluk_lgd_code,village_name_en,dem_valid_cell_count,elevation_mean_m,elevation_min_m,elevation_max_m,slope_mean_deg,slope_min_deg,slope_max_deg
635080,587,5754,Erumad 1,29974,877.0114432508174,817.0,959.0,9.360799427978488,0.0,29.677366049639964
635081,587,5754,Moonnad 1,28168,918.8208605509799,859.0,1005.0,10.995077646297073,0.0,35.58599692808123
635082,587,5754,Nelliyalam 1,44865,1006.583104870166,887.0,1518.0,13.027235590646864,0.0,57.744095755403066
635083,587,5754,Cherangode1,84685,875.976949873059,282.0,1184.0,13.726031268889123,0.0,61.46913145795974
635084,587,5755,Nellakotta,50633,967.7674836569036,878.0,1143.0,10.363532108403792,0.0,37.48939746230644
635085,587,5755,Mudumalai,207874,970.4264698807932,644.0,1188.0,7.193822563595803,0.0,64.17885153884704
635086,587,5755,Sreemadurai,11741,948.8644919512818,899.0,1016.0,9.25829846864063,0.0,29.929002988695306
635087,587,5756,Masinagudi,141863,958.3762080316925,465.0,1836.0,10.308711283549599,0.0,68.0435153444781
635088,587,5756,Kadanad 1,133441,1008.2089687577281,391.0,2250.0,12.439819899455179,0.0,75.04206426634038
635089,587,5756,Ebbanad 1,80176,1168.0683621033727,410.0,2171.0,15.582018509464726,0.0,72.87174777561279
635090,587,5756,Kookal,66257,1352.4056024269134,428.0,2175.0,19.11431824399961,0.0,66.36775222344295
635091,587,5756,Kagguchi 1,32504,1956.3675547624907,1554.0,2489.0,15.570589929682535,0.0,56.45316156183734
635092,587,5756,Thuneri,19338,1956.8888199400144,1704.0,2384.0,16.38849918184268,0.0,50.24973638900375
635093,587,5756,Hullathy,27903,1887.5517686270293,935.0,2323.0,16.26241332396422,0.0,59.77550384446742
635094,587,5756,Nanjand1,135091,2206.6053549089133,1694.0,2574.0,13.820478283019675,0.0,75.01516421595615
635095,587,5756,Udhagai - Rural,26134,2248.827619193388,2005.0,2634.0,14.461524077496495,0.0,53.658645056787016
635096,587,5756,Thummanatty 1,23688,2160.7532083755486,1917.0,2491.0,16.878805574211366,0.0,57.00450002220994
635097,587,5757,Hallimoyar,131936,685.2125576036866,291.0,1873.0,18.995670305993222,0.0,79.58956679007406
635098,587,5757,Kallampalayam,356,311.1825842696629,301.0,322.0,2.8423123158924413,0.0,10.1521084505481
635099,587,5757,Kodanad,36024,1776.6664168332222,1153.0,2079.0,19.27806282825781,0.0,73.1617380801026
635100,587,5757,Nedugula-I,38751,1857.393796289128,1380.0,2098.0,16.71201137212214,0.0,58.183986928643066
635101,587,5757,Denad-I,31613,1757.251668617341,1160.0,2124.0,16.490544083230045,0.0,61.15165954154308
635102,587,5757,Nandhipuram,4941,1309.2286986439992,701.0,1668.0,24.843672926769724,0.9326179272488427,61.845622492325084
635103,587,5757,Aracode,8343,1209.415198369891,769.0,1782.0,23.28072842417058,0.0,64.20039531193117
635104,587,5757,Kokodu,819,953.6471306471307,839.0,1072.0,18.694654748319607,2.833355113286018,36.75309044593754
635105,587,5757,Kadinamala,6388,1313.7578271759548,901.0,1680.0,20.795125795440807,0.0,63.68286802420194
635106,587,5757,Kengarai 1,32435,1298.3913673500847,339.0,1981.0,21.222161349352604,0.0,78.06817839385165
635107,587,5757,Konavakorai-I,48413,1412.620267283581,395.0,1997.0,18.659399683887056,0.0,71.10465248583938
635108,587,5757,Naduhatty-1,30422,1907.7534350141345,1512.0,2240.0,17.419044612486775,0.0,58.657708869816005
635109,587,5757,Kotagiri -1,10571,1643.2280768139249,1248.0,1877.0,15.707966405077197,0.0,58.370961545248015
635110,587,5757,Jackanarai,18026,1204.5480971929435,539.0,1776.0,26.55553482814376,0.0,71.30677563031644
635111,587,5758,Yedapally,14632,1756.603471842537,997.0,2119.0,22.082229087510903,0.0,76.62066654109869
635112,587,5758,Burliar,16217,1133.6636862551643,512.0,1972.0,29.198968572224494,0.0,78.46535530045936
635113,587,5758,Coonoor Rural,7537,1695.9290168502057,971.0,2108.0,21.74019239762628,0.0,70.43683722846973
635114,587,5758,Melur 1,37597,1500.767135675719,698.0,1958.0,20.649320629665073,0.0,77.21734061412208
635117,587,5759,Ithalar 1,28326,2035.9217326837534,1817.0,2276.0,15.995207860567715,0.0,46.37747036318738
635118,587,5759,Mulligoor,187914,2227.997147631363,1336.0,2625.0,17.180916147728308,0.0,73.26058569083052
635119,587,5759,Balacola-1,33475,1874.670351008215,1105.0,2264.0,18.947129469295785,0.0,76.71701491577612
635120,587,5759,Mel-Kundah,36159,1991.9930031250865,1266.0,2421.0,23.284147838218068,0.0,74.53346010099155
635121,587,5759,Kinnakorai,13456,1607.4081450653982,1057.0,2093.0,27.16847668636226,0.0,72.21925896613841
